
All device pins and their pinmux options

Pin,Name,Selected Mode,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
P1,OSPI0_CSn0,,OSPI0_CSn0,,,,,,OSPI0_D0,GPIO0,,,,,,,,
R3,OSPI0_CSn1,,OSPI0_CSn1,,MCAN5_TX,,SPI4_CS1,XBAROUT0,UART2_RTSn,GPIO1,FSIRX2_D1,,EPWM10_B,,,,,
N2,OSPI0_CLK,,OSPI0_CLK,,MCAN7_RX,,SPI7_CS0,,UART3_CTSn,GPIO2,,,EPWM12_A,,,,,
N1,OSPI0_D0,,OSPI0_D0,,MCAN7_TX,,SPI7_CLK,,UART1_DCDn,GPIO3,,,EPWM12_B,,,,,
N4,OSPI0_D1,,OSPI0_D1,,,,SPI7_D0,,UART1_RIn,GPIO4,,,EPWM13_A,,,,,
M4,OSPI0_D2,,OSPI0_D2,,,,,,OSPI0_D6,GPIO5,,,,,,,,
P3,OSPI0_D3,,OSPI0_D3,,,,,,OSPI0_D4,GPIO6,,,,,,,,
M1,MCAN0_RX,,MCAN0_RX,SPI4_CS0,OSPI0_D4,,,,OSPI0_DQS,GPIO7,,,,,,,,
L1,MCAN0_TX,,MCAN0_TX,SPI4_CLK,OSPI0_D5,,,,OSPI0_D2,GPIO8,,,,,,,,
L2,MCAN1_RX,,MCAN1_RX,SPI4_D0,OSPI0_D6,,,,OSPI0_CLK,GPIO9,,,,,,,,
K1,MCAN1_TX,,MCAN1_TX,SPI4_D1,OSPI0_D7,,SPI7_D1,,UART1_DTRn,GPIO10,,,EPWM13_B,,,,,
C11,SPI0_CS0,,SPI0_CS0,UART3_RXD,LIN3_RXD,,,,,GPIO11,,CHANNEL0,,,,,,
A11,SPI0_CLK,,SPI0_CLK,UART3_TXD,LIN3_TXD,,,,FSITX0_CLK,GPIO12,,CHANNEL1,,,,,,
C10,SPI0_D0,,SPI0_D0,,,,,,FSITX0_D0,GPIO13,,CHANNEL2,,,,,,
B11,SPI0_D1,,SPI0_D1,,,,,,FSITX0_D1,GPIO14,,CHANNEL3,,,,,,
C9,SPI1_CS0,,SPI1_CS0,UART4_TXD,LIN4_TXD,,,XBAROUT1,,GPIO15,,CHANNEL4,,,,,,
A10,SPI1_CLK,,SPI1_CLK,UART4_RXD,LIN4_RXD,,,XBAROUT2,FSIRX0_CLK,GPIO16,,CHANNEL5,,,,,,
B10,SPI1_D0,,SPI1_D0,UART5_TXD,,,,XBAROUT3,FSIRX0_D0,GPIO17,,CHANNEL6,,,,,,
D9,SPI1_D1,,SPI1_D1,UART5_RXD,,,,XBAROUT4,FSIRX0_D1,GPIO18,,CHANNEL7,,,,,,
A9,LIN1_RXD,,LIN1_RXD,UART1_RXD,SPI2_CS0,OSPI0_ECC_FAIL,,XBAROUT5,,GPIO19,OSPI0_RESET_OUT1,,,,,,,
B9,LIN1_TXD,,LIN1_TXD,UART1_TXD,SPI2_CLK,OSPI0_RESET_OUT0,,XBAROUT6,,GPIO20,,,,,,,,
B8,LIN2_RXD,,LIN2_RXD,UART2_RXD,SPI2_D0,,,,,GPIO21,,,,,,,,
A8,LIN2_TXD,,LIN2_TXD,UART2_TXD,SPI2_D1,,,,,GPIO22,,,,,,,,
D7,I2C1_SCL,,I2C1_SCL,,SPI3_CS0,,,XBAROUT7,,GPIO23,,,,,,,,
C8,I2C1_SDA,,I2C1_SDA,,SPI3_CLK,,,XBAROUT8,,GPIO24,,,,,,,,
C7,UART0_RTSn,,UART0_RTSn,I2C2_SCL,SPI3_D0,MCAN3_TX,,XBAROUT9,,GPIO25,,,,,,,,
B7,UART0_CTSn,,UART0_CTSn,I2C2_SDA,SPI3_D1,MCAN3_RX,SPI0_CS1,XBAROUT10,,GPIO26,,,,,,,,
A7,UART0_RXD,UART0_RXD,UART0_RXD,LIN0_RXD,,,,,,GPIO27,,,,,,,,
A6,UART0_TXD,UART0_TXD,UART0_TXD,LIN0_TXD,,,,,,GPIO28,,,,,,,,
R17,RGMII1_RXC,,RGMII1_RXC,RMII1_REF_CLK,MII1_RXCLK,,,,FSITX0_CLK,GPIO29,EQEP2_A,,EPWM14_A,,,,,
R18,RGMII1_RX_CTL,,RGMII1_RX_CTL,RMII1_RX_ER,MII1_RXDV,,,,FSITX0_D0,GPIO30,EQEP2_B,,,,,,,
U17,RGMII1_RD0,,RGMII1_RD0,RMII1_RXD0,MII1_RXD0,,,,FSITX0_D1,GPIO31,EQEP2_STROBE,,,,,,,
T17,RGMII1_RD1,,RGMII1_RD1,RMII1_RXD1,MII1_RXD1,,,,FSIRX0_CLK,GPIO32,EQEP2_INDEX,,,,,,,
